Full Name,TEAMS,Batting Style,Bowling Style,Playing Role,description,imageurl
Najmul Hossain Shanto,Bangladesh,Left hand Bat,Right arm Offbreak,Top order Batter,"Nazmul Hossain Shanto emerged from an unusual source in Bangladesh cricket - the schools. A double-century in a school one-day match in Rajshahi grabbed the attention of age-group scouts, who quickly drafted the left-hander into Bangladesh's Under-17s. Soon, he graduated to the Under-19s in 2013, and went on to play two World Cups at that level, in 2014 and 2016.By November 2014, Nazmul had made his first-class debut for Rajshahi and the following year made his maiden first-class century. In the 2016 Dhaka Premier League, where he had his first taste of real competition in the domestic system, he made 537 runs at 41.30. But it was his 2016 Under-19 World Cup exploits - 259 runs at 64.75 - that grabbed the selectors' attention and led them to pick him for the senior team's training camp in Sydney ahead of their 2016-17 New Zealand tour. With Mominul Haque ruled out with a rib injury on the day before the second Test in Christchurch, Nazmul was drafted in to the playing XI, becoming the 84th Bangladeshi to play Test cricket.Mohammad Isam","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323100/323155.png"
Alex Carey,Australia,Left hand Bat,,Wicketkeeper Batter,"As inaugural captain of the Greater Western Sydney Giants on their road towards inclusion in the Australian Football League, Alex Carey appeared to be a talent lost to cricket. But the fade of his Australian football career around his 20th birthday left him to fall back on the other sport that had competed for his junior attention, starting a road to becoming Australia's wicketkeeper across formats and also a vice-captain of the ODI side.Carey had always been highly regarded by South Australia, for whom he turned out at age-group levels in addition to his club side Glenelg. On returning home from Sydney, Carey excelled in grade ranks as a batsman, but found the going harder when first chosen for the Redbacks in early 2013. These struggles led the adaptable Carey to make another switch, from full-time batter to a wicketkeeper-batter down the order, and it was in this form that he was able to progress. Amid a strong club and 2nd XI season in 2015-16, he displaced Tim Ludeman as South Australia's gloveman, and earned strong reviews for his precise footwork, soft hands and promising, elegant batting.He took 57 Sheffield Shield catches and two stumpings in 2016-17 and was in the selectors' thoughts entering the 2017-18 Ashes, only to be nipped out of a baggy green by the return of the older, wiser Tim Paine. He quickly replaced Paine in the ODI team and remarkably became vice-captain of both limited-overs teams in the aftermath of Australian cricket's cultural review, cementing his place for the 2019 ODI World Cup. Two years later, he captained the ODI side in a series against West Indies.Carey's elevation to the Test team also came in rather chaotic circumstances after Paine resigned as captain shortly before the 2021-22 Ashes then stepped away from the game. However, although it was a hasty leap into the role, it felt like the natural order.
ESPNcricinfo staff
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321500/321551.png"
Roelof van der Merwe,Netherlands,Right hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"A tidy left-arm spinner and hard-hitting batter, Roelof van der Merwe is one of a small set of cricketers to have represented two international teams.Van der Merwe played in the 2004 Under-19 World Cup for South Africa before he made his domestic debut in 2006 for Northerns. He first tasted success in franchise cricket with Titans in the 2007-08 season, when he topped the wicket-takers' chart in the MTN Domestic Championship, finished third in the Standard Bank Pro20 Series, and contributed handy runs in both tournaments. Titans won both titles and van der Merwe harvested a clutch of player-of-the-year titles. The following season, his 30 wickets were pivotal in the team retaining the MTN title.He marked his T20I debut, against Australia in 2009 with a quickfire 48 and 1 for 30 and was named Player of the Match. He played 26 games, split evenly between ODIs and T20Is over a year, for South Africa before calling time on his international career with them. Between then and when he first turned out for Netherlands in 2015, having acquired a Dutch passport, he plied his trade as a T20 journeyman, with gigs in the IPL with Royal Challengers Bangalore and Delhi Daredevils, and with Somerset in England's T20 Blast, while still appearing for Titans.Van der Merwe got off to a brisk start in T20Is for Netherlands, taking two wickets apiece in each of his first four games, in 2015. In June 2019, he produced a breakneck 75 not out against Zimbabwe, and in the game after, took 4 for 35 - though Zimbabwe won that match in the eliminator after it was tied.As he entered his late 30s, van der Merwe continued to ply his trade around the world, though primarily as a bowler as his batting became less consistent. At the T20 World Cup in 2022, playing for Netherlands, he took a stunning high catch off David Miller to help his side secure a famous victory - one which knocked his old team, South Africa, out of the tournament before the semi-finals.His longevity was confirmed when, in early 2023, he finished the inaugural SA20 as the leading wicket-taker for champions Sunrisers Eastern Cape.ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322500/322596.png"
Colin Ackermann,Netherlands,Right hand Bat,Right arm Offbreak,Batting Allrounder,"Having relinquished his South African qualification to sign a contract with Leicestershire, taking advantage of an EU passport, Colin Ackermann was part of the late-2010s exodus that rocked cricket in his home country. Although less heralded at the time, Ackermann was a former South Africa U-19 who had topped the Sunfoil averages in 2016-17, and might have been in contention for a Test call-up had he not taken the well-trodden English county route.His returns in county cricket were mostly solid rather than spectacular, and when he did grab the headlines it was with his occasional offspin - figures of 7 for 18 in a T20 Blast game against Birmingham Bears making him the first man to take a seven-wicket haul in the format. He captained the T20 team in his first season at Leicestershire, taking on the job full-time the following year, and in 2019 stepped up to lead the 50-over side; as well as topping the run charts in both limited-overs formats. The following summer he was unveiled as club captain, a sign of his growing importance to the county, and in 2022 he made history as his career-best 277 not out helped Leicestershire to their highest first-class score, 756 for 4 dec, and a Championship-record fifth-wicket stand of 477 with Wiaan Mulder (235 not out)Ackermann had previous experience in the county of Leicestershire after enjoying a successful season for Kibworth in 2012. He is a product of Grey High School in Port Elizabeth, with whom he toured England. He was the leading run-scorer in the CSA Under-19 three-day competition in 2009, where he averaged 200 with two centuries.However, when his international debut did arrive in late 2019, it was in the orange of Netherlands, and he went on to help secure qualification for both the 2020 T20 World Cup (postponed to 2021) and the subsequent event in Australia in 2022, at which his unbeaten 41 was instrumental in one of the biggest shocks of the tournament's history, as his former countrymen South Africa were eliminated in a 13-run defeat in Adelaide.
ESPNCricinfo staff
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322600/322638.png"
Marnus Labuschagne,Australia,Right hand Bat,Legbreak,Batter,"Marnus Labuschagne's ascent to the higher echelons of Test batting was an extraordinary tale of making the most of an unexpected opportunity. During the Lord's Ashes Test against England in August 2019, Steven Smith was felled by Jofra Archer's bouncer and Labuschagne would become his concussion substitute - the first time in Test history the protocol had been used. By the end of the year he had eclipsed Smith as the leading Test run-scorer in the world, and locked in the No. 3 spot, in the midst of a prolific home summer that brought him four centuries in five matches against Pakistan and New Zealand including a double century at the SCG.It was a far cry from a year previously when he had been the shock choice to bat No. 3 against India in Sydney, in just his third Test and with a first-class average in the low 30s, having been a surprise call-up to the 2018 tour of UAE to face Pakistan as Australia began to rebuild following the ball-tampering crisis. Labuschagne was born in Klerksdorp, in South Africa's North West province, to South African parents. His family emigrated to Australia in 2004 when he was 10. He grew up speaking Afrikaans, and only became fluent in English after moving to Australia. Before his international call-up he had been best known for his work as a substitute short leg fielder for Australia taking a superb catch off Nathan Lyon in the 2014 Brisbane Test against India. He made 83 on his Sheffield Shield debut for Queensland in 2014 and was the second leading run-scorer in the 2017-18 Sheffield Shield season scoring 795 runs at 39.75 with two centuries. In his first two Test against Pakistan it was his useful legspin - something he would continue to develop - that stood out as much as his batting as he took eight wickets while showing a glimmer of his potential with the bat in Abu Dhabi. Following the recall against India, he made a composed 81 in the pink-ball Test against Sri Lanka in Brisbane but did not receive a Cricket Australia contract despite being an incumbent in the Test team.What came next was a key part of his story as he signed for Glamorgan for the first part of the 2019 county season where he would churn out 1114 runs in 10 matches, honing his technique against the moving Duke ball and then winning the race for a spot in the Ashes squad.
ESPNcricinfo staff
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321500/321585.png"
Mark Chapman,New Zealand,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Born in Hong Kong, but qualifying for New Zealand through his father, Chapman began his international career with the country of his birth in 2014 having previously made the Under-19 squad as a 15-year-old. He made a century on ODI debut against UAE in 2015 having flown 20 hours following exams in New Zealand, but soon decided to throw his lot in with New Zealand and focused on his career with Auckland. His first New Zealand call-up came in early 2018 for the T20 tri-series involving England and Australia. It was reward for a prolific 2017-18 white-ball season by the left-hander, who scored over 300 runs in the Super Smash and more than 400 in the one-day Ford Trophy. He also bowls part-time left-arm spin which he has been encouraged to continue to work on. As a teenager he suffered a torn anterior cruciate ligament in his left knee playing rugby in New Zealand but it did not stall his cricket career.
ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/321200/321241.png"
Mitchell Santner,New Zealand,Left hand Bat,Slow Left arm Orthodox,Bowling Allrounder,"A left-handed batsman and left-arm spinner, Mitchell Santner was first elevated to the New Zealand side after a promising 2014-15 domestic season. He was named in the one-day squad for the tour of England following the retirement of Daniel Vettori after the World Cup as New Zealand searched for another left-arm spin option. Santner was in to cover for the absence of the players at the IPL but made an immediate impression with a well-crafted 94 in a tour game against Somerset. He was handed his ODI debut at Edgbaston having played just 19 List A matches for Northern Districts. ""It's nice to have a left-arm spinner who turns,"" was a quip from the New Zealand camp.He made his Test debut later that year in the first ever day-night Test against Australia in Adelaide and made 31 and 45 batting at No.6 in both innings in a low-scoring game. He also took two wickets. Over the next four years his Test opportunities were limited but he became a mainstay in the white-ball teams for the Black Caps. His performances were so impressive that he was bought by the Chennai Super Kings in 2019 IPL to play under Stephen Fleming. He won a game by hitting a six off the last ball of the match against Rajasthan and took 2 for 13 from 4 overs in the IPL final against Mumbai, including the prized scalp of Rohit Sharma. His experience in that cauldron held him in good stead for the 2019 World Cup in England. He bowled a clutch spell in the semi-final win over India, strangling their middle order to help secure a spot in the final against England. Later in the same year he recorded a maiden Test century during an epic partnership with BJ Watling. The 261 they added was New Zealand's highest seventh-wicket stand in history and helped their side to 615-9, their highest Test total against England. The three wickets he claimed in England's second-innings also constituted new Test-best figures and helped New Zealand to a crushing innings victory.
ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319700/319792.png"
Rachin Ravindra,New Zealand,Left hand Bat,Slow Left arm Orthodox,Batting Allrounder,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/329700/329746.png"
Dunith Wellalage,Sri Lanka,Left hand Bat,Slow Left arm Orthodox,Bowler,,
Teja Nidamanuru,Netherlands,Right hand Bat,Right arm Offbreak,Allrounder,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/368000/368040.png"
Dilshan Madushanka,Sri Lanka,Right hand Bat,Left arm Fast medium,Bowler,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/348600/348600.png"
Tom Latham,New Zealand,Left hand Bat,Right arm Medium,Wicketkeeper Batter,"The son of former allrounder Rod Latham, Tom Latham played varied roles for New Zealand since his international debut at the age of 19. He batted in every position from No. 1 to 9 in limited-overs cricket, and also took on the responsibility of being a wicketkeeper. In Tests, however, Latham was primarily used as an opening batsman, and he quickly settled into a position New Zealand had trouble filling for years.Latham had been part of New Zealand's Under-19 World Cup squad in 2010 and later that year he played first-class cricket for Canterbury. In 2012, he made his debut in ODIs and Twenty20 internationals and was shuffled up and down the order for a while but did not cement his spot. Following an impressive domestic season, Latham played his first Test, against India in Wellington, in February 2014 and was picked as an opener for the tour of West Indies a few months later. In the Caribbean, he reeled off three successive half-centuries, contributing to an overseas series win. Against Pakistan in the UAE that November, Latham scored centuries in successive Tests, the first New Zealand batsman to do so for 24 years. He has been a fixture at the top of New Zealand's order in Test cricket ever since. In December 2018, he carried his bat in a Test innings against Sri Lanka in Wellington, making 264 not out to set a new Test match record for the highest score by any opener while carrying his bat, surpassing Alastair Cook's 244 not out in 2017 against Australia. He was also only the second New Zealand opener to carry his bat in a Test. Glenn Turner had previously done it twice. In ODI cricket, he was included in New Zealand's 2015 World Cup squad, but did not get a game as Brendon McCullum's team finished runners-up. However, New Zealand rested several first-choice players from the tour to Africa later that year, and Latham cashed in: he made his maiden ODI hundred in Zimbabwe, and scored three successive half-centuries in South Africa - all while opening the batting. He had had only one 50-plus score in his first 26 ODI innings. After a lean run in 2017 at the top of the order, he was shifted to No.5 and given the gloves following the retirement of Luke Ronchi. He made 103 not out in his first innings at No.5 in a winning chase against India in Mumbai and remained in that spot all the way through to the 2019 World Cup.
ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316672.png"
Shreyas Iyer,India,Right hand Bat,"Right arm Offbreak, Legbreak Googly",Top order Batter,"Shreyas Iyer is an attacking top-order batter capable of marrying classical shots with brute force.  He made headlines when Delhi Daredevils bought him at the 2015 IPL auction for Rs 2.6 crore (about US$416,000). It was faith he repaid with interest: he made 439 runs that season, and won the IPL Emerging Player of the Year award. Over the next six seasons, he became a mainstay of the side and its captain, making over 400 runs a season for them four times. Iyer came up through the Under-19 ranks, hitting back-to-back fifties in the 2014 World Cup playoffs to help India finish fifth. He made his first-class debut for Mumbai the next domestic season, and after a lukewarm stint in the middle order, was promoted to opener and finished as the team's top run-getter with 809 runs at an average of over 50. He had a blow-out Ranji Trophy season the next year, with 1321 runs at 73, and made a century in the final, where Mumbai won their 41st title.By then calls for Iyer to be fast-tracked into the India side had grown clamorous, but it took nearly another two years before he made his international debut, in the white-ball formats first. His first hundred for India came in an ODI against New Zealand in Hamilton in 2020, and he made a century and fifty on Test debut against the same side a little over a year and a half later, this time at home. In a Ranchi ODI in October 2022, he made a chase of 282 against South Africa look like a walk in a park with a well-paced unbeaten 113 that took India home with plenty of room to spare.
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/323000/323035.png"
Mohammad Wasim,Pakistan,Right hand Bat,Right arm Fast medium,Bowling Allrounder,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322100/322154.png"
Saud Shakeel,Pakistan,Left hand Bat,Left arm Slow,Middle order Batter,,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/313600/313620.png"
Ish Sodhi,New Zealand,Right hand Bat,Legbreak,Bowler,"There is little in Ish Sodhi's statistics to suggest he is an international-quality legspinner, but New Zealand's selectors have seen enough in his aggressive approach and keen attitude to hand him a Test debut after only one full season of first-class cricket. Known chiefly for the turn he generates and the flight he fearlessly trusts, Sodhi's journey to top-level cricket has been a triumph of determination over significant odds.Born in Ludhiana, in the Indian state of Punjab, Sodhi began his cricket in south Auckland, where his parents had migrated in his youth. Papatoetoe High School is not renowned for its cricket, and perhaps as a result, Sodhi had trouble establishing himself in regional representative teams, and may have also been a victim of Auckland's pitches that provide little aid to spin bowlers, and captains who are not versed in how to use them. Undeterred, Sodhi left school early and a training stint with Dipak Patel and Matt Horne was when his career finally got some traction. A move to Northern Districts allayed the frustration of not being able to displace the spinner in the Auckland side, and after an encouraging 2012-13 season, Sodhi earned a trip to the subcontinent with New Zealand A, which cleared the path to the New Zealand side.Andrew Fidel Fernando","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319700/319778.png"
Mushfiqur Rahim,Bangladesh,Right hand Bat,,Wicketkeeper Batter,"One of Bangladesh's longest-serving and most accomplished cricketers, wicketkeeper-batter Mushfiqur Rahim got his start as a wild-card inclusion for the team's maiden tour of England, in 2005, aged 18, during which he became the youngest player to appear in a Test match at Lord's. Mushfiqur captained in the Under-19 World Cup in February 2006, and featured in a Test in Bogra (that venue's first) against Sri Lanka the following month, though he could make little of the spin of Murali and Malinga Bandara. His first Test fifty came on the return tour of Sri Lanka the following year. Earlier in 2007, he was picked as the first-choice wicketkeeper, ahead of Khaled Mashud, for the World Cup in the West Indies - where he starred in Bangladesh's landmark defeat of India, anchoring the chase of 192 with 56 not out.Mushfiqur came into his own as a Test batter in the 2010s, stepping up to No. 4, shedding the image of lower-order scrapper, taking on the mantle of dependable mainstay, and proving himself one of the better players of spin in the Bangladesh line-up. His first hundred, the fastest by a Bangladesh batter then, came against India in Chattogram in 2010, and was followed two Tests later by 72 and 95 against England at the same venue. After defeats on the Test and white-ball legs of the series in Zimbabwe in 2011, he was appointed captain in place of Shakib Al Hasan, a role he served in for 94 internationals, through to 2018 - though the white-ball part of his tenure lasted only till 2014. Highlights of his term included a first-time place in the Asia Cup final in 2012 and a whitewash of Zimbabwe in a Test series at home in 2014.In 2013, Mushfiqur produced a double-century against Sri Lanka in Galle in a Bangladesh total of 638, their highest. In 2017, there were back-to-back hundreds against New Zealand and India away - though they could not fend off defeats. In Mirpur in 2018 and 2020, he scored double-hundreds against Zimbabwe in back-to-back Tests against them 15 months apart; the first of those made him the first wicketkeeper-batter to score two Test double-hundreds. His favourite opponents, though, have been Sri Lanka, against whom he averages over 50 - boosted, most recently, by consecutive hundreds in the 2022 home series. Against them in 2017, he became the first Bangladesh wicketkeeper to get to 100 dismissals in Tests.Mushfiqur became the first to play 100 games in the BPL, in 2023. He has been among the leading run-scorers in the tournament for a number of years since the league kicked off, turning out for Rajshahi Royals and Khulna Tigers most often.
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316578.png"
Ravindra Jadeja,India,Left hand Bat,Slow Left arm Orthodox,Allrounder,"Dissed when he first appeared, Ravindra Jadeja won the doubters and haters over with his deeds, and now sits among the elite of Indian spin bowling.In October 2019 he became the quickest left-arm bowler to reach 200 Test wickets. Six years before that, he had became the first Indian since Anil Kumble in 1993 to top the ICC ODI bowling rankings. In the IPL, he drew a scarcely believable bid of US$2 million in 2012. In an era in which he was bound to be overshadowed by the artistry of fellow spinner R Ashwin, Jadeja kept his senior colleague on his toes, and often stole the spot when conditions allowed India to play just the one spinner. It helped that he was a captain's dream: arguably the fastest man on the turf and the best fielder in the time that he played, he went on to become an important lower-order batter. Some of his best batting performances came against the top teams, and they were often accompanied by the swordsman's celebration that became his signature. Ten years into his career, he had five Test fifties and a hundred against England - the latter in a partnership of 222 with Rishabh Pant at Edgbaston in 2022 - and four half-centuries against Australia. It was all a far cry from the memes his batting inspired at the start of his career - though the ridicule directed at his three triple-hundreds in domestic cricket back then was more an indictment of the quality of bowling on the Indian first-class circuit at the time. Jadeja shone in India's 2013 Champions Trophy win, finishing as the leading wicket-taker, with 12 wickets, two of those in the final, where he also made an unbeaten 33.His most valuable assets as a bowler are perhaps his fitness and strength, which enable him to go at batters for hours, ready to pounce on any assistance from the pitch. Like with his batting, his bowling highlights too feature the best sides disproportionately. His first Test five-for came against Australia in Delhi in 2013, and was followed by 6 for 138 in his next match, against South Africa in Durban, though that was in an India defeat. When South Africa next visited India, he got stuck into them, with 23 wickets in the four Tests in 2015. Against England at home in 2016-17, he harvested 26; this included an impressive demolition job in Chennai, where he took 7 for 48 after India had racked up 759 runs. Later that season he took 25 wickets when Australia visited for four Tests, to go with the 24 from the previous time, in 2013. Through the first half of his career and beyond, Jadeja's place in the Test side was never quite secure. He had to fight through a serious shoulder injury, and he was even dropped from the squad, but he kept coming back. Of course, these hardships paled in comparison with a tough childhood in Jamnagar, and the hard knocks that marked his early career, including being banned by the IPL for a year for essentially trying to negotiate his salary. In that tournament, Jadeja has been synonymous with Chennai Super Kings, for whom he has taken over 100 wickets over nine seasons and whom he briefly captained in 2022.
","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316600.png"
Kuldeep Yadav,India,Left hand Bat,Left arm Wrist spin,Bowler,"Kuldeep Yadav started as a fast bowler when he first joined a cricket academy in Kanpur, but was asked by his coach Kapil Pandey to switch to something much rarer - left-arm wristspin. The change wasn't smooth - Kuldeep admitted that he had even tried once - but he soon realised bowling left-arm wristspin was the way forward for him. And he was good at it too, having not only solid control over the length, but also a potent wrong'un among his variations.There haven't been too many bowlers of his ilk in India, and Kuldeep, therefore, attracted immediate attention after successful stints at the Under-19 level.Kuldeep played his first India U-19 game in April 2012 as a 17-year old and and despite consistently taking wickets, he stayed below the radar.  It was the 2014 edition of the U-19 World Cup in Dubai that pushed his stocks higher. After a wicketless spell in the opening game against Pakistan, Kuldeep picked up a hat-trick in the next game against Scotland. ""As Kuldeep, mere ko wicket nikaalna hai (As Kuldeep, I knew I had to take wickets),"" he said after the match.He gained in stature in the games that followed, repeatedly troubling batsmen with his turn and finished with 14 wickets, the joint second-highest in the tournament. The performance seemed to justify why Kolkata Knight Riders' scouts had forked out $66,000 for him in the IPL auction prior to the Under-19 World Cup.Kuldeep had been part of the Mumbai Indians set-up in the 2012 season where he had a fond memory of bamboozling Sachin Tendulkar once in the nets with his wrong'un. That did not translate into an IPL debut. Nor did it happen with Knight Riders in the 2014 season. He had to wait until the Champions League where, playing as a support bowler to Sunil Narine, he impressed with his economy. Following those performances, he was included in India's ODI squad for the series against West Indies in October 2014, and he made his first-class and List A debuts shortly after.Having established himself in the Uttar Pradesh and India A sides, Kuldeep made his Test debut against Australia in a deciding match in Dharamsala in March 2017 and claimed 4 for 68 in the first innings.ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/319900/319943.png"
Mohammed Shami,India,Right hand Bat,Right arm Fast,Bowler,"Mohammed Shami was India's leading fast bowler in the 2015 World Cup in Australia, when the team marched into the semi-finals and picked up 77 out of 80 wickets on offer. It was later revealed that he had played through that entire tournament - and the preceding Test series against the hosts, essentially four months - through a knee injury. His success can be attributed to his pace, accuracy and primarily his skill in moving the ball - both old and new. There were plenty of frustrating times as well. Shami was hopeful of a return to the Indian team in early 2016, but a hamstring injury ruled him out a limited-overs tour of Australia and the Asia Cup in February. He was selected in a 15-man squad for the World T20 in March, but was unable to break into the XI having spent a year out of international cricket. Shami hails from Uttar Pradesh, but plays first-class cricket for Bengal from where he was noticed. He had played only 15 first-class and 15 List A games when he was drafted into India's ODI team to play Pakistan in Delhi in January 2013. He showed the faith wasn't misplaced and returned figures of 9-4-23-1 in a 10-run win, thus becoming only the eighth bowler, and the first Indian, to bowl four or more maiden overs on his ODI debut. His Test debut, which happened in November that year against the touring West Indies, was even more spectacular. He reverse-swung the old ball appreciably,  and at good pace, in the two-match series to take 11 wickets at 16.54. In the summer that followed in England, Shami and Bhuvneshwar Kumar, recorded the second-highest 10th wicket partnership for India in Tests, when they put on 111 runs against England in Nottingham. Shami's quick promotion to international cricket was the result of impressive performances in the 2012-13 Ranji Trophy: in five matches he took 28 wickets at 21.35, including two ten-wicket hauls, against Madhya Pradesh and Hyderabad. He has also enjoyed early success in the Twenty20 format, picking up 14 wickets in his first eight domestic Twenty20 games, and was signed by Kolkata Knight Riders for the 2011 IPL season. He got his first game for them in 2013, and was acquired by Delhi Daredevils in 2014, who retained him in 2016 despite his missing the entire 2015 season with injury. ESPNcricinfo staff","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316600/316691.png"
Shadab Khan,Pakistan,Right hand Bat,Legbreak,Allrounder,"A prodigious turner of the ball, teenage legspinner Shadab Khan burst onto cricket's collective consciousness only during the 2016/17 PSL season. His ability to take wickets while maintaining an excellent economy rate saw him talked up as that most frequent of phenomena: an exciting Pakistani prospect. Shadab is not afraid of bowling the wrong'un either; his only criticism might be that he bowls it a bit too often, but that hasn't helped batsmen pick it up any better, either out of the hand or off the pitch. He's also a useful lower-order right-handed batsman, something that has occasionally been witnessed during his domestic career.Shadab has made an immediate impact; he only played his maiden first-class game ten months ago, in July 2016. His ability with the U-19 side caught PSL franchise Islamabad United's eye, who gave the young leggie a chance he accepted with aplomb. His performance during the competition won him praise from the likes of Wasim Akram and Misbah-ul-Haq, and saw him called up to Pakistan's limited-overs side for the tour to the West Indies. His meteoric rise continued as he flourished in the first two T20Is, taking seven wickets for 21 runs and winning the Man-of-the-Match award on both occasions.","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/320400/320467.png"
Tanzid Hasan,Bangladesh,Left hand Bat,,Opening Batter,,"https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/368000/368062.1.png"
Shariz Ahmad,Netherlands,Left hand Bat,Legbreak Googly,Bowler,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/368000/368045.png"
Gus Atkinson,England,Right hand Bat,Right arm Fast medium,Bowler,"It may seem odd to talk of 2022 as a breakthrough year for Gus Atkinson given he only turned out for Surrey in four County Championship and six Vitality Blast matches. But there was evidently enough encouragement around his potential for the Desert Vipers to recruit him for the inaugural ILT20 at the start of 2023. A connection between the Vipers and Hundred side Oval Invincibles helped - they share the same analytical team - but spells across his 10 appearances, with nine dismissals and an economy rate of 7.81, suggest it was a shrewd acquisition. His pace, along with a smooth run-up, was particularly noteworthy.A tall seamer educated at Bradfield College, Atkinson earned a professional contract in October 2017 after impressing for Surrey's second team throughout the previous summer. He performed creditably with the ball across the next two seasons, but without ever threatening to break into the first team - though an unbeaten hundred from No. 7 against Worcestershire in a Second XI game at the back end of 2018 hinted at a future as a bowling allrounder. He graduated to the 1st XI outright in 2020, with a List A debut coming in 2021. Even though his part in the 2022 summer was limited, he still managed 13 wickets at 28.84 to aid the push for the Championship title, and grew his reputation in white ball cricket as a handy option at the death. 
","https://img1.hscicdn.com/image/upload/f_auto,t_h_100_2x/lsci/db/PICTURES/CMS/296200/296215.1.jpg"
Bas de Leede,Netherlands,Right hand Bat,Right arm Fast medium,Batting Allrounder,,"https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/322600/322637.png"
Mohammad Nabi,Afghanistan,Right hand Bat,Right arm Offbreak,Allrounder,"Mohammad Nabi hails from a well-to-do family that moved to Peshawar in Pakistan, seeking a safe haven from the Soviet War in Afghanistan. An efficient allrounder - a strong middle-order batsman who can bowl flighted offspin - Nabi's rise, like Afghanistan's, has been staggering. He has been at the centre of the side since their time in the ICC's World Cricket League Division Five, from where Afghanistan began their rise to the international stage.Nabi took up cricket at the age of 10 while living in Peshawar. Honing his skills with endless sessions of tennis-ball cricket, he managed to begin training at Arshad Khan's academy in Peshawar and made his competitive debut against Rahim Yar Khan Cricket Association in Pakistan's erstwhile Cornelius Trophy in 2003, making 61 after having just met most of his team-mates. On a tour of India he caught Mike Gatting's eye with a century against a visiting MCC side. That brought him more valuable experience with MCC, for whom he made his first-class debut, and he went on to play a major role in Afghanistan's progress to the World Cup Qualifiers in South Africa in 2009. Nabi struck 58 against Scotland on one-day international debut and 102 in his first first-class game for Afghanistan, against a Zimbabwe XI.Nabi has remained the backbone of the side that qualified for the World Twenty20 in 2010, 2012 and 2014 and, recently, the 2015 World Cup. Nabi has had a couple of stints as Afghanistan's captain, taking over the role from Nawroz Mangal in March 2013 and leading the side to the 2015 World Cup. He has overseen rapid changes in Afghanistan's cricket but has remained calmer than most. Nabi has also played club and domestic cricket in England, Pakistan and Bangladesh, where he has enjoyed varying success but has gained in experience.Liam Brickhill","https://img1.hscicdn.com/image/upload/f_auto,t_ds_square_w_160/lsci/db/PICTURES/CMS/316500/316558.png"
